dataset,program,size,gamma,c,performance
CampConduction,class,3878,1.7345452022479706e-05,0.001,0.808640287525997
CampConduction,class,3878,1e-07,0.001,0.7907756604182317
CampConduction,class,3878,1e-06,0.001,0.7906454761403123
CampConduction,class,3878,1e-05,0.001,0.794134815853949
CampConduction,class,3878,0.0001,0.001,0.8209428867109948
CampConduction,class,3878,0.001,0.001,0.8124203932308918
CampConduction,class,3878,0.01,0.001,0.5802528123405278
CampConduction,class,3878,0.1,0.001,0.1230936958875125
CampConduction,class,3878,1.7345452022479706e-05,0.01,0.823259353339035
CampConduction,class,3878,1e-07,0.01,0.7907756604182317
CampConduction,class,3878,1e-06,0.01,0.7937858527836914
CampConduction,class,3878,1e-05,0.01,0.8234254888902792
CampConduction,class,3878,0.0001,0.01,0.8240903129844566
CampConduction,class,3878,0.001,0.01,0.8207078880049486
CampConduction,class,3878,0.01,0.01,0.6511714968673147
CampConduction,class,3878,0.1,0.01,0.1230936958875125
CampConduction,class,3878,1.7345452022479706e-05,0.1,0.8240682531558224
CampConduction,class,3878,1e-07,0.1,0.7937858527836914
CampConduction,class,3878,1e-06,0.1,0.8236542405619516
CampConduction,class,3878,1e-05,0.1,0.8241512505569675
CampConduction,class,3878,0.0001,0.1,0.8360242014789879
CampConduction,class,3878,0.001,0.1,0.8729901568130861
CampConduction,class,3878,0.01,0.1,0.7136716663856079
CampConduction,class,3878,0.1,0.1,0.1281411243964643
CampConduction,class,3878,1.7345452022479706e-05,1.0,0.8466043531424591
CampConduction,class,3878,1e-07,1.0,0.8237752857525192
CampConduction,class,3878,1e-06,1.0,0.8241245263776144
CampConduction,class,3878,1e-05,1.0,0.8340674020188993
CampConduction,class,3878,0.0001,1.0,0.8836011226008398
CampConduction,class,3878,0.001,1.0,0.8870093546723306
CampConduction,class,3878,0.01,1.0,0.7960656910592404
CampConduction,class,3878,0.1,1.0,0.12877211185112933
CampConduction,class,3878,1.7345452022479706e-05,10.0,0.8807404520339797
CampConduction,class,3878,1e-07,10.0,0.8242705352333755
CampConduction,class,3878,1e-06,10.0,0.8342133465341883
CampConduction,class,3878,1e-05,10.0,0.883882773513566
CampConduction,class,3878,0.0001,10.0,0.8889614232088485
CampConduction,class,3878,0.001,10.0,0.8872371998152172
CampConduction,class,3878,0.01,10.0,0.7885301815631404
CampConduction,class,3878,0.1,10.0,0.12175397585458697
CampConduction,class,3878,1.7345452022479706e-05,100.0,0.8886159200502419
CampConduction,class,3878,1e-07,100.0,0.8342133465341883
CampConduction,class,3878,1e-06,100.0,0.8837169919982351
CampConduction,class,3878,1e-05,100.0,0.8876129032703377
CampConduction,class,3878,0.0001,100.0,0.8759313821587266
CampConduction,class,3878,0.001,100.0,0.8815600373274007
CampConduction,class,3878,0.01,100.0,0.7885301815631404
CampConduction,class,3878,0.1,100.0,0.12175397585458697
CampConduction,class,3878,1.7345452022479706e-05,1000.0,0.8627588492409843
CampConduction,class,3878,1e-07,1000.0,0.8839419221141596
CampConduction,class,3878,1e-06,1000.0,0.8875444600062072
CampConduction,class,3878,1e-05,1000.0,0.8700768796736186
CampConduction,class,3878,0.0001,1000.0,0.8458039109239869
CampConduction,class,3878,0.001,1000.0,0.881457493548773
CampConduction,class,3878,0.01,1000.0,0.7885301815631404
CampConduction,class,3878,0.1,1000.0,0.12175397585458697
CampConvection,class,3902,1.528584530724549e-05,0.001,0.6034982744431833
CampConvection,class,3902,1e-07,0.001,0.6045442432394433
CampConvection,class,3902,1e-06,0.001,0.6043568863902927
CampConvection,class,3902,1e-05,0.001,0.6039920489869746
CampConvection,class,3902,0.0001,0.001,0.6637751465703784
CampConvection,class,3902,0.001,0.001,0.6172530564144327
CampConvection,class,3902,0.01,0.001,0.45217314224362715
CampConvection,class,3902,0.1,0.001,0.12893568331965458
CampConvection,class,3902,1.528584530724549e-05,0.01,0.6704082723751176
CampConvection,class,3902,1e-07,0.01,0.6045442432394433
CampConvection,class,3902,1e-06,0.01,0.6043568863902927
CampConvection,class,3902,1e-05,0.01,0.6700816155449397
CampConvection,class,3902,0.0001,0.01,0.6616597594905321
CampConvection,class,3902,0.001,0.01,0.6233452971560335
CampConvection,class,3902,0.01,0.01,0.48774625934073096
CampConvection,class,3902,0.1,0.01,0.12893568331965458
CampConvection,class,3902,1.528584530724549e-05,0.1,0.6724447539701903
CampConvection,class,3902,1e-07,0.1,0.6045442432394433
CampConvection,class,3902,1e-06,0.1,0.6712861207207206
CampConvection,class,3902,1e-05,0.1,0.6728721377480407
CampConvection,class,3902,0.0001,0.1,0.6813789368548712
CampConvection,class,3902,0.001,0.1,0.7887156164985324
CampConvection,class,3902,0.01,0.1,0.6011513310396547
CampConvection,class,3902,0.1,0.1,0.13001617075436617
CampConvection,class,3902,1.528584530724549e-05,1.0,0.7251689695369978
CampConvection,class,3902,1e-07,1.0,0.6692441563876893
CampConvection,class,3902,1e-06,1.0,0.6700356897984485
CampConvection,class,3902,1e-05,1.0,0.6916028852449135
CampConvection,class,3902,0.0001,1.0,0.8124331177056198
CampConvection,class,3902,0.001,1.0,0.8361304117875838
CampConvection,class,3902,0.01,1.0,0.6799611611788464
CampConvection,class,3902,0.1,1.0,0.14871931423937926
CampConvection,class,3902,1.528584530724549e-05,10.0,0.8226263621976978
CampConvection,class,3902,1e-07,10.0,0.6712728275219142
CampConvection,class,3902,1e-06,10.0,0.6934684433896608
CampConvection,class,3902,1e-05,10.0,0.8151878434658452
CampConvection,class,3902,0.0001,10.0,0.8349308909218638
CampConvection,class,3902,0.001,10.0,0.8343457058026844
CampConvection,class,3902,0.01,10.0,0.6853039599740164
CampConvection,class,3902,0.1,10.0,0.1428568579162798
CampConvection,class,3902,1.528584530724549e-05,100.0,0.8369844890553142
CampConvection,class,3902,1e-07,100.0,0.6932750568633308
CampConvection,class,3902,1e-06,100.0,0.8152132062482869
CampConvection,class,3902,1e-05,100.0,0.8355042746627054
CampConvection,class,3902,0.0001,100.0,0.8257419376319133
CampConvection,class,3902,0.001,100.0,0.8378188547619372
CampConvection,class,3902,0.01,100.0,0.6853039599740164
CampConvection,class,3902,0.1,100.0,0.1428568579162798
CampConvection,class,3902,1.528584530724549e-05,1000.0,0.813536602153324
CampConvection,class,3902,1e-07,1000.0,0.8149633574379636
CampConvection,class,3902,1e-06,1000.0,0.8356672757481579
CampConvection,class,3902,1e-05,1000.0,0.8166249828554761
CampConvection,class,3902,0.0001,1000.0,0.8117131577013753
CampConvection,class,3902,0.001,1000.0,0.8378188547619372
CampConvection,class,3902,0.01,1000.0,0.6853039599740164
CampConvection,class,3902,0.1,1000.0,0.1428568579162798
CampRadiation,class,1290,3.268507926131721e-05,0.001,0.6421640656387656
CampRadiation,class,1290,1e-07,0.001,0.6422795196552932
CampRadiation,class,1290,1e-06,0.001,0.6422795196552932
CampRadiation,class,1290,1e-05,0.001,0.6419343347621917
CampRadiation,class,1290,0.0001,0.001,0.6436381102933711
CampRadiation,class,1290,0.001,0.001,0.6197083986843336
CampRadiation,class,1290,0.01,0.001,0.4379714796145428
CampRadiation,class,1290,0.1,0.001,0.1915436022135019
CampRadiation,class,1290,3.268507926131721e-05,0.01,0.6421640656387656
CampRadiation,class,1290,1e-07,0.01,0.6392449169000196
CampRadiation,class,1290,1e-06,0.01,0.6422795196552932
CampRadiation,class,1290,1e-05,0.01,0.6419343347621917
CampRadiation,class,1290,0.0001,0.01,0.642842222788841
CampRadiation,class,1290,0.001,0.01,0.6195309516218266
CampRadiation,class,1290,0.01,0.01,0.4378566454376182
CampRadiation,class,1290,0.1,0.01,0.19128098068802382
CampRadiation,class,1290,3.268507926131721e-05,0.1,0.6381838705154805
CampRadiation,class,1290,1e-07,0.1,0.6392449169000196
CampRadiation,class,1290,1e-06,0.1,0.6422795196552932
CampRadiation,class,1290,1e-05,0.1,0.6419343347621917
CampRadiation,class,1290,0.0001,0.1,0.640445221807582
CampRadiation,class,1290,0.001,0.1,0.6532338350876625
CampRadiation,class,1290,0.01,0.1,0.47240431289041146
CampRadiation,class,1290,0.1,0.1,0.19128098068802382
CampRadiation,class,1290,3.268507926131721e-05,1.0,0.643180088423215
CampRadiation,class,1290,1e-07,1.0,0.6392449169000196
CampRadiation,class,1290,1e-06,1.0,0.6422795196552932
CampRadiation,class,1290,1e-05,1.0,0.638786713789534
CampRadiation,class,1290,0.0001,1.0,0.6982061085415462
CampRadiation,class,1290,0.001,1.0,0.7851370497295892
CampRadiation,class,1290,0.01,1.0,0.532360820980318
CampRadiation,class,1290,0.1,1.0,0.1928793574632967
CampRadiation,class,1290,3.268507926131721e-05,10.0,0.7598022027387082
CampRadiation,class,1290,1e-07,10.0,0.6392449169000196
CampRadiation,class,1290,1e-06,10.0,0.638786713789534
CampRadiation,class,1290,1e-05,10.0,0.6988406739393144
